age_days,circulating_supply,first_priced_day,last_priced_day,mint,n_active_days,peak_mcap_usd,peak_price_usd,symbol
871,16642768252,2024-03-28,2024-09-04,4PfN9GDeF9yQ37qt9xCPsQ89qktp1skXfbsZ5Azk82Xi,161,71374938720,4.288645833333334,ASDEX
575,999902543,2025-01-18,2026-08-16,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,576,52557689881,52.5628125,TRUMP
865,9993932365,2024-04-03,2026-08-16,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,866,13820422740,1.3828813559322033,W
928,6859785207,2024-01-31,2026-08-16,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,929,11922687789,1.7380555555555555,JUP
958,9996437144,2024-01-01,2026-08-16,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,959,10587121096,1.0590894479166666,PYTH
574,999724016,2025-01-19,2026-08-16,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,575,8498660806,8.501006944444445,MELANIA
958,7690345619,2024-01-01,2026-08-16,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,959,7706059746,1.002043357638889,USDC
907,838710579898,2024-02-21,2026-08-16,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,908,6887252483,0.008211715277777778,PUMP
318,9998089180,2025-10-02,2026-08-16,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,319,6412869382,0.6414095,2Z
958,467707548,2024-01-01,2026-08-16,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,959,5839978336,12.48638888888889,RNDR
613,999969702,2024-12-11,2026-08-16,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,614,5198263549,5.198421052631579,ME
958,85586503225478,2024-01-01,2026-08-16,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,959,4558450088,5.3261319444444e-05,BONK
795,790541218,2024-06-12,2026-08-16,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,796,4355623765,5.509673202614379,IO
958,933570320,2024-01-01,2026-08-16,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,959,4331117970,4.639305555555556,JTO
958,938988052,2024-01-01,2026-08-16,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,959,4298935089,4.5782638888888885,WIF
958,535070370,2024-01-01,2026-08-16,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,959,4269805818,7.979895833333333,RAY
897,9989059340,2024-03-02,2026-08-16,SarosY6Vscao718M4A778z4CGtvcwcGef5M9MEH1LGL,898,4103114790,0.4107608784722222,SAROS
958,3826717993,2024-01-01,2026-08-16,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,959,3836791151,1.0026323229166667,USDT
958,12818084,2024-01-01,2026-08-16,So11111111111111111111111111111111111111112,959,3447465051,268.9532291666667,SOL
958,999992941,2024-01-01,2026-08-16,NeonTjSjsuo3rexg9o6vHuMXw62f9V7zvmu8M8Zut44,959,3343413899,3.3434375,NEON
607,76690488862,2024-12-17,2026-08-16,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,608,3308359254,0.04313910763888889,PENGU
619,928069540,2024-12-05,2026-08-16,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,620,3297385962,3.552951388888889,GRASS
551,999991001,2025-02-11,2026-08-16,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,552,3214693292,3.214722222222222,LAYER
