best_position_pnl_usd,dune_label,first_buy,last_action,majors_pnl_usd,median_hold_days,n_positions,n_positions_external_inflow,n_profitable_positions,pct_flipped_same_day,pnl_excluding_best_usd,positions_never_sold,roi,still_held_value_usd,total_invested_usd,wallet,win_rate
173200,,2024-01-04 02:40:01.000 UTC,2025-02-18 16:45:58.000 UTC,356029,35,3,2,3,0.33000000000000000,182829,0,0.33,2,1069499,CzLLrfqQMeFu5uubyayv7unPEqHuv5iG685kVyvFQW1R,1.00000000000000000
153168,,2024-04-16 20:38:31.000 UTC,2025-10-10 15:34:14.000 UTC,326698,27,4,3,4,0.25000000000000000,173530,0,0.77,0,421801,13QGSfiPNcQ1FzKQrXi8eC8EGKZ2W2i3mfUyaDBfLTBj,1.00000000000000000
245192,,2024-01-15 04:00:27.000 UTC,2026-07-02 06:07:20.000 UTC,414035,27,3,3,3,0.00000000000000000,168843,0,1.02,110832,407158,5Dp5zs2DMe3145egAf7SQUBkQtZgrbrQaWAGogQKEQps,1.00000000000000000
665994,,2024-05-26 13:00:22.000 UTC,2025-02-02 04:35:12.000 UTC,832272,69,8,6,6,0.13000000000000000,166278,0,1.31,0,635509,5uGwuXa37ZrTG1HES8xaRnH8X7haZfRYsSGEQCq6Jfia,0.75000000000000000
166888,,2024-02-15 15:13:09.000 UTC,2025-03-08 12:39:42.000 UTC,330626,8,5,1,4,0.00000000000000000,163738,0,1.17,0,283579,31LsWbKWrNAQBWvd32B6vEYVqBgBWgAHD71TE27St17U,0.80000000000000000
114421,,2024-01-03 12:38:19.000 UTC,2025-03-26 10:24:12.000 UTC,269741,12,4,3,3,0.25000000000000000,155320,0,0.9,0,300437,HAMf5Z36c8MqogrZ5xw3rHAefeqTQEug15vdxEV9oX4h,0.75000000000000000
271017,,2024-03-11 06:14:21.000 UTC,2024-12-08 17:11:30.000 UTC,424929,139,3,1,3,0.00000000000000000,153912,0,1,0,426582,BKW8jjZypbgbmMztPPS7aM9vPYqNp4kg87ogLhx7UNEN,1.00000000000000000
130618,,2024-03-09 15:51:52.000 UTC,2025-12-13 07:45:09.000 UTC,283104,13,7,2,6,0.29000000000000000,152486,0,0.51,0,559583,BR3NcnDxoeXY26eCsDDW8BXGdy2eFje9ahAdpA8WbZGY,0.86000000000000000
269724,,2024-12-29 10:07:21.000 UTC,2025-01-23 00:22:41.000 UTC,419744,6,5,0,5,0.00000000000000000,150020,0,0.58,0,724323,82qDmg3SgzdXMhNUKhogPaURjNsw5XGA2bk8Pj5PhnJj,1.00000000000000000
118028,,2024-02-02 15:49:31.000 UTC,2025-08-18 22:00:32.000 UTC,260258,6,4,4,4,0.00000000000000000,142230,0,0.52,0,499671,D3yVuxVvkDp9ucVincjrftqHP7KZaXMRJiLPnuER8s3N,1.00000000000000000
234772,,2024-01-14 06:40:37.000 UTC,2025-05-29 07:50:59.000 UTC,375409,12,5,3,4,0.00000000000000000,140637,0,0.56,0,672909,DgJrz4CDbL6GU8jeiDDRDpczyLMLAf3iYGnz3LTn9yRg,0.80000000000000000
195834,,2024-01-12 09:12:30.000 UTC,2025-07-28 10:29:25.000 UTC,332006,14,6,4,3,0.17000000000000000,136172,0,0.96,0,345227,EroRReG2rxPWSfg9X1jhR8sq1LuRPHXW9cK4uAB8Qh3v,0.50000000000000000
1138887,,2024-01-01 17:14:33.000 UTC,2026-01-18 17:16:20.000 UTC,1273622,16,4,2,3,0.25000000000000000,134735,0,1.9,17705,671136,5cVkxwuTQMNZpPyw1h6xH2DiWyA6TzW2MhgcH3DKzoy9,0.75000000000000000
137313,,2024-01-01 16:24:31.000 UTC,2026-08-07 18:45:22.000 UTC,268672,13,4,1,3,0.25000000000000000,131358,0,0.81,0,331577,Cfec4QM2RfK6oXiM8UKJAWoEawz7m85mYnE5BQhY5SRF,0.75000000000000000
173819,,2024-02-17 16:59:43.000 UTC,2025-11-27 15:46:22.000 UTC,303974,10,3,3,3,0.33000000000000000,130155,0,0.39,0,776276,GYwx3GysjoPqxnqSm7Cks2a4LyguUqjxWQqrPhkxxQx4,1.00000000000000000
171433,,2024-07-10 04:23:55.000 UTC,2025-01-24 04:14:21.000 UTC,298997,6,5,0,5,0.20000000000000000,127564,0,0.65,0,463410,ELcFWwNzKFXs8LHkkfhppEr6VXH4eBaCHvdszCCcoAPH,1.00000000000000000
1040659,,2024-06-23 17:04:27.000 UTC,2026-03-19 00:59:54.000 UTC,1167599,9,5,1,3,0.20000000000000000,126940,0,0.77,12624,1525251,6rmJ5cmu9FTmaF3AV3onVxdBB7Fft1uRmYt8LfWL2ZCq,0.60000000000000000
317044,,2024-01-04 00:25:59.000 UTC,2025-02-01 20:16:19.000 UTC,441969,15,4,3,3,0.00000000000000000,124925,0,0.64,0,692063,4D5J3e1WqrQ8jJUSijUZrUzbRWNtKWGhZ6WdRvqx7fnv,0.75000000000000000
175554,,2024-06-05 16:10:51.000 UTC,2026-05-12 19:16:11.000 UTC,295261,22,4,2,3,0.25000000000000000,119707,0,0.3,0,982904,MdA2yin7Nw73RdAEU4TgEK1Si7mmpwcFHy5snhPtEwz,0.75000000000000000
152035,,2024-10-11 01:17:03.000 UTC,2024-11-25 04:31:44.000 UTC,271451,7,4,0,3,0.00000000000000000,119416,0,0.8,0,340609,E1humH4sxuBZ6whLPbaxi3k3eu8EECG6PVQjdc9jYMkL,0.75000000000000000
228622,,2024-01-13 03:49:22.000 UTC,2025-01-14 00:43:17.000 UTC,347692,34,3,2,3,0.33000000000000000,119070,0,0.63,0,555503,DDHkZWxPNrK39zQftjCoo5G8uY84QLA9ouF9xxsW6qqa,1.00000000000000000
238403,,2025-03-06 03:24:36.000 UTC,2026-01-08 04:36:46.000 UTC,354476,16,5,3,4,0.00000000000000000,116073,0,0.53,28054,665946,5a3Szint9TupD8YNgmoaVcWgu3YwWhuZdF22PgtCp9ha,0.80000000000000000
182671,,2024-01-26 16:28:22.000 UTC,2024-11-23 00:42:29.000 UTC,297616,6,4,3,3,0.25000000000000000,114945,0,0.55,0,541487,2LLpgd85HuGc5QQC36Z2KcwGgJEfgs1p7FZQgnBKFZgw,0.75000000000000000
1082296,,2025-01-11 16:32:55.000 UTC,2025-05-08 15:44:31.000 UTC,1192227,13,5,3,3,0.00000000000000000,109931,0,1.26,0,946065,6amCcSwmUxA7E4fZi5ZgHCyGMawxLr7LvAaTwomz9j85,0.60000000000000000
271394,,2025-01-12 23:52:23.000 UTC,2025-04-11 14:18:12.000 UTC,376455,23,4,4,3,0.00000000000000000,105061,0,1.02,0,368136,FED6TcDA7yHKyc7JUdGux1vubtRYxd1zNAmLZzMokmLs,0.75000000000000000
175819,,2024-02-29 15:12:05.000 UTC,2024-12-14 11:31:38.000 UTC,280015,5,4,3,3,0.25000000000000000,104196,0,0.31,0,898554,GR7F96nZemdREY6Cx7af6wjtPRuRHnpJs86Wpubbro8M,0.75000000000000000
732021,,2024-01-04 03:07:31.000 UTC,2025-11-14 04:58:02.000 UTC,834029,9,6,2,3,0.33000000000000000,102008,0,0.31,0,2697898,HBqjh8qc4Dz4JpMk1ix9jHZiArxyUWfgLmGco6VmioWt,0.50000000000000000
