avg_loser_size_usd,avg_txs_per_position,avg_winner_size_usd,best_position_pnl_usd,biggest_position_usd,conviction_ratio,dune_label,first_buy,last_action,majors_pnl_usd,median_hold_days,n_positions,n_positions_external_inflow,n_profitable_positions,pct_flipped_same_day,pnl_excluding_best_usd,positions_never_sold,roi,still_held_value_usd,total_invested_usd,wallet,win_rate,net_pnl_all_usd,roi_all,n_positions_all,n_losers,gross_losses_usd,worst_position_usd,n_total_wipeouts,wipeout_loss_usd,n_txs_all,biggest_position_all_usd,clean_pnl_usd,clean_invested_usd,inflow_pnl_usd,n_clean_positions,n_sold_without_buying,sold_without_buying_usd,best_clean_position_usd,clean_pnl_excluding_best_usd,recent_pnl_180d_usd,recent_positions_180d,size_variation,active_hours_of_day,best_position_share,verdict
1004,4.30000000000000000,6730,62606,52074,6.7,,2024-01-10 12:40:21.000 UTC,2025-09-27 02:27:12.000 UTC,84979,6,4,8,4,0.25000000000000000,22373,0,0.55,0,153621,2hfdDGpZwi5HC5RjM8KAce6jbh6topkUdNHDz4d6R5wq,1.00000000000000000,108333,0.44,67,36,-14557,-3018,6,4804,290,52074,90217,229239,18115,59,3,9299,62606,27612,0,0,2.64,12,0.69,pass
7347,3.80000000000000000,19651,213154,89880,2.67,,2024-01-14 21:53:03.000 UTC,2025-10-25 14:31:04.000 UTC,246871,58,8,2,6,0.00000000000000000,33717,0,0.87,0,283527,9Gpb8Uj3eVUUe1Ztfbm3stcLXEh2qjXX7mqZaZLULMFA,0.75000000000000000,83165,0.1,83,67,-364991,-44745,45,164077,313,89880,89971,794488,-6806,81,6,35298,213154,-123184,0,0,1.49,12,2.37,REJECT: sells tokens it never bought
19968,5.10000000000000000,29094,171414,80484,1.46,,2024-11-14 13:38:07.000 UTC,2025-02-16 07:03:00.000 UTC,194972,19,6,2,3,0.33000000000000000,23558,0,0.74,0,261788,FUo8v8jbrBg7NDC1MH4pqMLy1AL3WhddKgxTbtaewq9q,0.50000000000000000,230454,0.62,16,10,-91815,-31992,1,173,82,80484,89844,313439,140610,14,0,0,171414,-81570,0,0,1.11,10,1.91,pass
15189,6.10000000000000000,20578,74009,53922,1.35,,2024-03-10 01:30:03.000 UTC,2025-01-19 22:49:18.000 UTC,87543,8,6,2,4,0.33000000000000000,13533,0,0.6,0,145860,9AGXpvwRaKjhUkBXJUmRMHJcFaGgWCYML4DRbzC9BQca,0.67000000000000000,97430,0.18,31,19,-51364,-9925,0,0,188,110687,89662,483299,7768,29,2,7984,74009,15653,0,0,1.3,11,0.83,pass
4638,6.00000000000000000,12576,54885,41302,2.71,,2024-01-20 20:24:35.000 UTC,2026-04-29 05:01:52.000 UTC,111713,36,10,10,6,0.10000000000000000,56828,0,0.64,3510,175115,EDxDXDVNUEM826Rw3Bz37MH62abxcmvq24741x6royWQ,0.60000000000000000,135532,0.4,50,37,-37736,-11140,7,3058,298,50004,87852,250008,47681,40,1,3299,54885,32967,-2197,5,1.71,13,0.62,pass
32087,7.30000000000000000,94779,227398,490591,2.95,,2024-07-14 03:52:29.000 UTC,2025-11-18 02:08:12.000 UTC,421521,15,15,4,9,0.00000000000000000,194123,0,0.21,1031,2029588,2MjcMofrQcb2kaShnyfALZSta2obtgNhEt2evojJu4oy,0.60000000000000000,174800,0.07,51,38,-508675,-113894,21,116975,371,490591,86400,1941070,88400,47,1,7676,227398,-140998,0,0,2.18,14,2.63,pass
963,2.20000000000000000,6766,54213,64653,7.03,,2024-04-13 12:29:05.000 UTC,2024-09-27 19:57:51.000 UTC,98876,5,4,2,4,0.00000000000000000,44662,0,0.76,0,130263,6zEyf7uyGzeFhNQqjMALCWJFC5KB8UniqD23pn1PrEgX,1.00000000000000000,85560,0.41,84,62,-28673,-2952,41,15607,188,64653,86022,201361,-462,82,3,5953,54213,31809,0,0,3.44,7,0.63,pass
17678,6.30000000000000000,33747,79545,179115,1.91,,2024-01-14 16:31:17.000 UTC,2025-05-13 02:28:52.000 UTC,93414,7,5,4,3,0.00000000000000000,13870,0,0.22,0,426075,46f6SqV2p1STeR4iBaKsgrCW4bvkBC8yCr85VnMuyMPX,0.60000000000000000,91834,0.18,20,10,-55924,-39941,2,5027,126,179115,85317,493021,6517,16,0,0,79545,5772,0,0,1.77,16,0.93,pass
3397,2.50000000000000000,22192,28878,28649,6.53,,2024-04-21 23:26:48.000 UTC,2024-11-15 14:40:16.000 UTC,44396,142,3,1,3,0.00000000000000000,15518,0,0.85,0,52040,2m6KeU7arS9nAjJrq5ySX99dujfWD25adqDd3EDYh2SB,1.00000000000000000,85281,0.7,8,3,-5183,-5170,0,0,20,57527,84538,115374,743,7,0,0,46067,38472,0,0,1.22,5,0.54,pass
4289,4.00000000000000000,5365,19536,25892,1.25,,2024-11-29 03:32:42.000 UTC,2025-01-09 05:18:21.000 UTC,36971,9,4,3,4,0.25000000000000000,17436,0,0.65,0,57229,2cyYy2zPyThCJAVcD4JhqnTWnsTVSVJe55Gw3NrPKBf8,1.00000000000000000,1397700,6.15,50,38,-62314,-9443,5,13647,202,37508,82800,224931,1314900,47,0,0,104708,-21907,0,0,1.67,8,1.26,REJECT: never sized up
7763,3.50000000000000000,25915,105625,78543,3.34,,2024-11-12 09:06:58.000 UTC,2025-02-02 02:58:11.000 UTC,162372,6,10,4,5,0.00000000000000000,56747,0,0.68,6870,240395,SqrEFtQzyUiJdQqvbxB7C3yhboUYPTNDP4Yq5y9Kib2,0.50000000000000000,303376,0.72,26,14,-36231,-17506,6,5136,92,109896,82782,300725,220594,22,2,10398,94697,-11915,0,0,1.58,9,1.14,pass
12350,3.20000000000000000,10188,322126,60567,0.82,,2024-03-02 06:31:41.000 UTC,2025-02-16 06:41:41.000 UTC,564477,10,13,4,4,0.15000000000000000,242352,0,2.08,0,271060,BmUuc3GRn4qHxTDpWAFbL4DMrwWJ3WjQwA1jwjouPoah,0.31000000000000000,346256,0.48,60,48,-363823,-59956,23,214479,193,60567,81923,681983,264332,56,15,248991,322126,-240202,0,0,1.18,12,3.93,REJECT: sells tokens it never bought
10539,7.00000000000000000,12729,80970,36072,1.21,,2024-05-11 13:49:02.000 UTC,2025-09-30 13:12:05.000 UTC,100075,39,3,2,3,0.33000000000000000,19104,0,1.67,0,59751,AnzJZUXSPzsLbFhTvpF86WkFnuMjmo83i93yZT4Uf9A2,1.00000000000000000,95058,1,8,3,-5318,-3174,1,2144,56,36072,79960,29993,15097,6,1,3456,80970,-1010,0,0,1.1,8,1.01,REJECT: never sized up
27616,5.00000000000000000,62451,172900,283268,2.26,,2024-03-03 08:49:14.000 UTC,2024-11-27 17:14:55.000 UTC,263573,13,9,4,4,0.11000000000000000,90674,0,0.45,0,585722,9CfNRq45kocvoX31E1vhPbqkkxMqEYYuZKHFSAJYRaCv,0.44000000000000000,250642,0.27,23,15,-93846,-15591,2,17095,116,283268,79545,619109,171098,19,0,0,69759,9786,0,0,1.41,9,0.88,pass
9829,8.00000000000000000,12380,128430,115994,1.26,,2024-04-09 02:30:02.000 UTC,2026-06-29 23:55:51.000 UTC,205605,7,13,18,6,0.08000000000000000,77175,0,0.45,0,452022,9V3EcKydpcMwT8r31BSXUVb3Sv69Djon8rqKFNsjJQVb,0.46000000000000000,199379,0.13,149,108,-541002,-108049,13,26444,1189,157441,79435,1353912,119943,131,4,15237,170851,-91416,-424,6,2.13,19,2.15,REJECT: sells tokens it never bought
20431,5.70000000000000000,31034,79648,171186,1.52,,2024-10-13 14:27:47.000 UTC,2025-06-20 18:19:15.000 UTC,166852,10,8,3,6,0.00000000000000000,87204,0,0.37,0,447153,HKSRyKodQBKd1Tw4zp8rLY7tjjRutwRLKgQyuMnLLXtb,0.75000000000000000,185204,0.28,25,10,-104134,-46170,5,32303,142,171186,78497,603731,106707,22,3,20596,79648,-1151,0,0,1.41,9,1.01,REJECT: sells tokens it never bought
2954,2.80000000000000000,9738,89444,34146,3.3,,2024-05-18 13:57:18.000 UTC,2024-11-23 20:13:02.000 UTC,168649,80,6,3,4,0.17000000000000000,79205,0,1.82,0,92596,BkXaLZhGHDaFXH7g1nSUqpBEn68FKQzjNrBndPhSnh5H,0.67000000000000000,144399,0.77,36,24,-32794,-3922,4,6272,101,34146,78483,142521,65916,33,1,3625,89444,-10961,0,0,1.48,8,1.14,REJECT: never sized up
3802,7.60000000000000000,9985,54377,28739,2.63,,2024-05-06 08:44:08.000 UTC,2025-03-07 00:36:06.000 UTC,130082,5,9,8,8,0.33000000000000000,75704,0,0.94,9,138611,92MqSHhD3X3RTonYxbWD4pBxbup7fNLPBciwgocZEFYh,0.89000000000000000,119116,0.37,56,38,-89537,-9883,24,59890,423,28756,77719,252380,41397,48,3,26291,54377,23342,0,0,1.19,20,0.7,REJECT: sells tokens it never bought
2250,2.60000000000000000,5998,108989,29975,2.67,,2024-03-05 20:47:23.000 UTC,2025-02-06 15:59:11.000 UTC,126380,41,7,6,4,0.29000000000000000,17390,0,1.4,21,90533,CKZbyVfo1xqdwRfcPdUihqZvgLYzAznYmimGs8GzFLRX,0.57000000000000000,125324,0.67,58,43,-66263,-5081,29,52618,149,29975,77631,127411,47693,52,1,8372,108989,-31358,0,0,1.66,10,1.4,REJECT: never sized up
3507,5.10000000000000000,25257,209843,177042,7.2,,2024-03-21 16:01:45.000 UTC,2025-01-18 03:48:42.000 UTC,307121,17,5,3,3,0.20000000000000000,97278,0,0.97,0,318107,DqYuiqHkckev8SxxJhyovwhgJuPo68JCaUWVDnSULUkF,0.60000000000000000,285677,0.8,34,23,-44129,-14483,7,12872,175,177042,77107,299178,208571,31,2,5894,83082,-5975,0,0,2.97,19,1.08,pass
4148,3.60000000000000000,3856,43196,32227,0.93,,2024-01-14 13:31:23.000 UTC,2025-07-31 19:56:44.000 UTC,73283,8,13,6,4,0.00000000000000000,30087,0,0.38,0,191401,3iG12ZUa2GjcZRLsUwDtXsHJhpoR1KYozHjdz8zFPBz9,0.31000000000000000,119821,0.21,142,105,-203765,-16077,14,29125,508,32227,76317,542344,43504,136,1,1533,43196,33121,0,0,1.26,10,0.57,REJECT: never sized up
25918,7.50000000000000000,29505,48427,121897,1.14,,2025-05-27 14:04:58.000 UTC,2025-10-22 10:29:00.000 UTC,89573,12,4,6,4,0.00000000000000000,41146,0,0.64,0,140860,329QzBy3tTJTjeN1uvBxz1LMCmJfKhghtKZPwf3PnDRr,1.00000000000000000,136194,0.3,16,6,-23151,-7460,1,7460,120,121897,76189,410678,60005,10,1,1668,48427,27762,0,0,1.36,16,0.64,pass
9408,4.00000000000000000,7305,99471,142833,0.78,,2024-03-14 15:07:03.000 UTC,2025-03-19 13:23:14.000 UTC,153045,34,9,1,4,0.00000000000000000,53573,0,0.39,0,393659,6dP6QRAcwSYRJFwynu8UpHNczRecpBnNrawea16fPFN5,0.44000000000000000,76983,0.1,85,56,-239164,-66575,9,15341,344,142833,76091,734185,892,84,2,10634,99471,-23381,0,0,2.32,9,1.31,REJECT: size went into losers
34721,3.20000000000000000,94046,363916,930939,2.71,,2024-09-06 13:22:13.000 UTC,2025-03-23 20:15:08.000 UTC,550548,5,7,1,5,0.14000000000000000,186632,0,0.27,0,2051171,ESzc3pkmnspBZQVujcgTaNJGfvv15toFnJoneoxH8rjD,0.71000000000000000,245837,0.08,54,36,-343231,-102115,9,41021,172,930939,75457,2391917,170380,52,0,0,363916,-288459,0,0,3.01,12,4.82,pass
2590,6.40000000000000000,21481,57091,44878,8.29,,2024-10-03 12:45:04.000 UTC,2026-05-09 09:46:14.000 UTC,86509,8,3,2,3,0.33000000000000000,29417,0,0.83,134,103708,3Fmuztpe9r5fwMCzuj9HrMW1aKRuE5AsZxRN1zCLMjCR,1.00000000000000000,78179,0.6,14,9,-12302,-4840,4,9183,89,44878,75405,122587,2774,12,0,0,57091,18314,0,0,1.54,12,0.76,REJECT: never sized up
18968,5.20000000000000000,86456,227746,168889,4.56,,2024-01-10 04:10:17.000 UTC,2026-06-03 06:22:30.000 UTC,262666,44,9,9,4,0.11000000000000000,34920,0,0.58,9860,449932,8jvhK9aVoTXTKeMsyZfkZzdbTiVWMDapGajbDuPZVwbF,0.44000000000000000,894614,0.45,51,36,-292037,-90239,10,69557,263,408372,74933,1285031,819681,42,7,63183,227746,-152813,-5137,2,1.9,12,3.04,REJECT: sells tokens it never bought
4163,3.50000000000000000,7789,172450,33859,1.87,,2024-01-15 00:44:09.000 UTC,2025-08-21 05:05:38.000 UTC,279300,9,11,4,6,0.18000000000000000,106851,0,1.64,0,169863,2N9GxMd33wyWoB8BvvK1DzYqxByMdBLxyvA6NVzU57y5,0.55000000000000000,254209,0.38,127,89,-222140,-36898,41,104374,440,52672,73364,624961,180845,123,3,38928,120144,-46781,0,0,1.67,20,1.64,REJECT: sells tokens it never bought
479,7.20000000000000000,7105,16473,32352,14.83,,2024-03-13 09:01:27.000 UTC,2024-09-18 16:22:17.000 UTC,31721,12,3,2,3,0.00000000000000000,15248,0,0.57,0,56120,Hkx8Y5dp2X7ZYt75inzqC8DSA1GNMxq1Nxg3KfshZKqy,1.00000000000000000,88545,1.09,17,6,-1473,-941,3,1142,123,32352,73347,47653,15199,15,0,0,39587,33760,0,0,1.67,12,0.54,REJECT: never sized up
4200,6.40000000000000000,50818,95018,188837,12.1,,2024-01-12 23:06:22.000 UTC,2024-10-19 19:50:32.000 UTC,175829,56,4,6,4,0.25000000000000000,80811,0,0.46,0,384940,DhSGJm9n3hk6MyJAh8WUCknePm6aAi5X6AkQwbSc8PhD,1.00000000000000000,198047,0.45,17,9,-12019,-4075,2,1904,109,188837,72328,244261,125719,11,6,16845,79800,-7472,0,0,2.1,9,1.1,REJECT: sells tokens it never bought
11369,7.50000000000000000,25256,47181,136144,2.22,,2024-10-17 20:11:53.000 UTC,2025-06-12 21:44:06.000 UTC,62768,6,5,1,4,0.00000000000000000,15587,0,0.3,0,206976,DoFneMDfvkutqLLi2gmo66FL1Shomig7KSnQMPMjCdrc,0.80000000000000000,70331,0.2,19,9,-80171,-24327,5,66701,142,136144,71381,353732,-1051,18,0,0,47181,24201,0,0,1.58,9,0.66,pass
10314,2.50000000000000000,45988,370056,458620,4.46,,2024-01-08 19:34:48.000 UTC,2025-05-13 14:18:47.000 UTC,596771,10,24,9,8,0.25000000000000000,226715,0,0.51,0,1169684,B5GxAaYZiBUmD3dtRvA3VACxCmxzW3JPo9LAs1beQFva,0.33000000000000000,448803,0.28,88,69,-300906,-20107,22,83520,224,458620,69802,948238,379001,79,10,49065,261332,-191529,0,0,2.95,13,3.74,REJECT: sells tokens it never bought
2620,3.30000000000000000,3830,21847,36311,1.46,,2024-10-19 18:29:54.000 UTC,2025-06-05 11:29:47.000 UTC,32946,7,6,10,4,0.00000000000000000,11098,0,0.35,0,94112,49onT6iNBV79fGiNXHTBDtss3AVNHnRW3xD2WrE7ZiBY,0.67000000000000000,85900,0.12,249,195,-286728,-38001,35,43667,818,49296,68365,661266,17534,239,1,4432,226246,-157881,0,0,1.72,9,3.31,REJECT: never sized up
7202,2.60000000000000000,26816,23294,37447,3.72,,2024-03-24 19:59:42.000 UTC,2024-11-19 14:49:27.000 UTC,34085,8,4,0,3,0.00000000000000000,10791,0,0.28,0,121444,FJGdQikuyXZ8mn8LL5hFYmbtoAd5rTFxC8FF8kd7SeYw,0.75000000000000000,67115,0.34,14,9,-20001,-7797,0,0,36,37447,67115,198897,0,14,0,0,47834,19282,0,0,0.85,4,0.71,REJECT: never sized up
1335,5.90000000000000000,2564,197440,45521,1.92,,2024-11-01 20:58:41.000 UTC,2025-07-03 13:21:36.000 UTC,223298,8,6,12,3,0.17000000000000000,25858,0,2.32,0,96243,FqTqvEpmmDGN7wQngyZZJEuVH2N3hTaTEFLrkgME9a1Q,0.50000000000000000,114993,0.27,262,204,-158667,-53289,27,84933,1557,53293,67059,363287,47934,250,0,0,197440,-130381,0,0,3.44,15,2.94,REJECT: trades too often
9525,3.60000000000000000,14397,45855,46886,1.51,,2024-03-26 19:02:27.000 UTC,2024-11-05 02:50:20.000 UTC,59540,5,4,1,3,0.25000000000000000,13685,0,0.64,0,93086,EDzJHNmSWv79Vutxo4zsoxr9aJT7xUt7AqqPU5c6vnKP,0.75000000000000000,86018,0.67,11,6,-19169,-11064,0,0,40,46886,66626,82245,19392,10,0,0,45855,20771,0,0,1.11,6,0.69,REJECT: never sized up
5114,2.40000000000000000,27011,36792,76634,5.28,,2024-01-07 08:33:10.000 UTC,2025-04-27 03:39:42.000 UTC,91333,66,5,2,4,0.00000000000000000,54541,0,0.62,0,148343,J5xXEXt6u18Mub2ofwY7MzGD1SBzJU51zdajCue8XJUu,0.80000000000000000,98651,0.49,9,2,-10174,-10003,1,10003,22,76634,65544,142869,33107,7,2,5264,36792,28752,0,0,1.08,5,0.56,pass
15125,5.60000000000000000,36968,85027,105022,2.44,,2024-01-05 20:37:06.000 UTC,2025-10-09 16:59:19.000 UTC,143896,40,10,8,6,0.20000000000000000,58870,0,0.3,0,473110,HQytgkeBv5brSKFdrimKXNMrK9xiYoxxHD7pqCKt8QZh,0.60000000000000000,103581,0.18,25,16,-115737,-24194,6,25570,141,105022,63620,301453,39961,17,1,2562,85027,-21407,0,0,1.23,12,1.34,pass
41814,4.10000000000000000,27714,53455,49211,0.66,,2024-05-01 18:08:50.000 UTC,2024-06-14 16:13:27.000 UTC,78848,17,5,2,4,0.00000000000000000,25393,0,0.57,0,138814,CXDqeKx53WCcRcjt4F8cjJ5NgcRi3AZiw1ctxTf2wbgx,0.80000000000000000,85518,0.38,7,2,-155,-109,0,0,29,68536,63150,195711,22368,5,0,0,53455,9695,0,0,0.67,6,0.85,REJECT: size went into losers
8752,8.90000000000000000,5792,125099,32251,0.66,,2024-11-06 18:27:24.000 UTC,2025-01-19 04:55:29.000 UTC,195606,5,3,0,3,0.33000000000000000,70507,0,4.14,4,47203,9R8oKYMzs7LhrNEswrj5eXdwuWzZV1fEUNvQfmi2LeDW,1.00000000000000000,62619,0.2,40,30,-139176,-52605,11,21549,356,80156,62619,320482,0,40,1,1889,125099,-62480,0,0,2.2,10,2.0,REJECT: size went into losers
3393,4.50000000000000000,24622,69571,171041,7.26,,2024-03-16 17:54:27.000 UTC,2025-04-07 03:18:54.000 UTC,134218,8,5,3,4,0.00000000000000000,64647,0,0.68,0,198590,ERhoxWeh6bGPrJkPkDnKsvfeoJszHKWPFjn3ahoExL1j,0.80000000000000000,118526,0.4,31,22,-43734,-9113,4,12955,138,171041,62427,112601,56098,28,1,2355,69571,-7143,0,0,3.11,16,1.11,pass
6634,4.60000000000000000,8806,48717,66687,1.33,,2024-04-21 04:18:10.000 UTC,2025-11-20 07:26:42.000 UTC,73230,55,8,3,3,0.00000000000000000,24513,0,0.43,0,170035,2eYLjkvPTRoFMXnPUKvmaRqfz6eKdDo3QmWnysgDoAjD,0.38000000000000000,93689,0.37,35,25,-48160,-17013,7,26070,160,66687,59800,248887,33889,32,0,0,48717,11083,-1045,2,1.75,12,0.81,pass
84565,4.50000000000000000,130548,86800,211322,1.54,,2024-09-25 14:31:54.000 UTC,2024-11-22 18:26:06.000 UTC,144386,11,4,0,3,0.00000000000000000,57586,0,0.27,0,544032,5FECiizUh3HNvtUZmphhJLg7GLLM3kGfd7rQRamoscEG,0.75000000000000000,59798,0.07,8,4,-89234,-41722,0,0,36,211322,59798,860455,0,8,0,0,86800,-27002,0,0,0.62,7,1.45,pass
1593,3.10000000000000000,9224,83583,159046,5.79,,2024-02-28 17:15:01.000 UTC,2026-01-31 17:12:03.000 UTC,114989,103,9,5,4,0.11000000000000000,31406,0,0.51,2,226155,JCw7SGZptiyAxPoEwgBb8ZJBYpnTuiYoamvduGtvzdpr,0.44000000000000000,117619,0.37,90,67,-73633,-8932,34,31823,277,159046,58992,285900,58627,85,3,19902,83583,-24591,-2927,3,4.71,11,1.42,REJECT: sells tokens it never bought
7316,4.50000000000000000,19252,43580,60528,2.63,,2024-05-31 12:21:54.000 UTC,2025-01-25 06:46:05.000 UTC,64603,5,5,2,4,0.00000000000000000,21023,0,0.39,0,167769,Aq86yiYyTA5UgNSTY4yAS11d1Y3Ruf59HfmUbYMBfVVm,0.80000000000000000,55151,0.29,15,8,-19699,-8669,0,0,67,60528,57950,186003,-2799,13,2,6975,43580,14370,0,0,1.36,7,0.75,pass
16352,6.00000000000000000,13393,65911,30016,0.82,,2024-10-19 18:48:23.000 UTC,2025-06-16 11:18:08.000 UTC,114607,54,4,3,3,0.25000000000000000,48696,0,1.41,0,81261,82JidQ2x6ho6pyVJkJeF4MVjcRtCcW3TXcPX2LDqGPnG,0.75000000000000000,121479,1.41,6,2,-7697,-7690,0,0,36,30016,56378,48012,65101,3,8,109889,53509,2869,0,0,0.78,4,0.95,REJECT: too few reconciled positions
