# Solana memecoin universe — mints VERIFIED against Dune prices.day +
# latest_balances on 2026-08-15 (query 8344089).
#
# Floor is $20M peak market cap: a wallet that entered at $1M and rode to $20M
# made 20x, the same call quality as a $100M run on a smaller name. 269 tokens
# cleared that screen; scripts/find_whales.py classified 99 of them out as
# LSTs, stables, bridged majors, tokenised equities and infra.
#
# ASDEX removed by hand — it prices at $71B, a supply-vs-peak-price artifact of
# the same kind as MOMO, just under the sanity ceiling.
#
# Format: <mint>  # SYMBOL  peak mcap
# Regenerate with: python3 scripts/find_whales.py tokens
25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ # MANEKI       $    168.6M
Faf89929Ni9fbg4gmVZTca7eW6NFg877Jqn6MizT3Gvw # WOLF         $    164.5M
DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2 # AURA         $    156.4M
GTH3wG3NErjwcf7VGCoXEXkgXSHvYhx5gtATeeM5JAS1 # WHALES       $    154.6M
GekTNfm84QfyP2GdAHZ5AgACBRd69aNmgA5FDhZupump # GRIFT        $    154.1M
8wXtPeU6557ETkp9WHFY1n1EcU6NxDvbAggHGsMYiHsB # GME          $    151.0M
FU1q8vJpZNUrmqsciSjp8bAKKidGsLmouB8CBdf8TKQv # TREMP        $    139.8M
69kdRLyP5DTRkpHraaSZAQbWmAwzF9guKjZfzMXzcbAs # USA          $    137.5M
GtDZKAqvMZMnti46ZewMiXCa4oXF4bZxwQPoKzXPFxZn # NUB          $    135.3M
HAPPYwgFcjEJDzRtfWE6tiHE9zGdzpNky2FvjPHsvvGZ # HAPPY        $    128.3M
3bRTivrVsitbmCTGtqwp7hxXPsybkjn4XLNtPsHqa3zR # LIKE         $    120.9M
GiG7Hr61RVm4CSUxJmgiCoySFQtdiwxtqf64MsRppump # SCF          $    119.2M
PUPS8ZgJ5po4UmNDfqtDMCPP6M1KP3EEzG9Zufcwzrg  # PUPS         $    117.9M
DvjbEsdca43oQcw2h3HW1CT7N3x5vRcr3QrvTUHnXvgV # DOOD         $    114.1M
BCpa4PVRovJv9EszgYvLRh1WqHq1PjE6LCr9EBdWGSa9 # RABBIT       $    107.2M
7x4FgiFfeqzs1tiUNvJzpt47GtLXAJ8Jfn8G1Hyyu6JH # SMILEK       $     99.8M
D8r8XTuCrUhLheWeGXSwC3G92RhASficV3YA7B2XWcLv # BAG          $     98.7M
DuMbhu7mvQvqQHGcnikDgb4XegXJRyhUBfdU22uELiZA # elizaOS      $     97.9M
DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump # HOUSE        $     96.9M
a11bdAAuV8iB2fu7X6AxAvDTo1QZ8FXB3kk5eecdasp  # ABR          $     95.8M
39qibQxVzemuZTEvjSB7NePhw9WyyHdQCqP8xmBMpump # MEMESAI      $     95.6M
98mb39tPFKQJ4Bif8iVg9mYb9wsfPZgpgN1sxoVTpump # LLM          $     93.1M
3TWgDvYBL2YPET2LxnWAwsMeoA8aL4DutNuwat2pKCjC # KHAI         $     91.4M
7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU # SAMO         $     86.9M
9Ttyez3xiruyj6cqaR495hbBkJU6SUWdV6AmQ9MvbyyS # SMOLE        $     86.0M
92cRC6kV5D7TiHX1j56AbkPbffo9jwcXxSDQZ8Mopump # FXN          $     86.0M
7EYnhQoR9YM3N7UoaKRoA44Uy8JeaZV3qyouov87awMs # SILLY        $     80.9M
8Ki8DpuWNxu9VsS3kQbarsCWMcFGWkzzA8pUPto9zBd5 # $LOCKIN      $     80.7M
8vCAUbxejdtaxn6jnX5uaQTyTZLmXALg9u1bvFCAjtx7 # ZACK         $     80.7M
3ThdFZQKM6kRyVGLG48kaPg5TRMhYMKY1iCRa9xop1WC # eUSX         $     79.7M
SCSuPPNUSypLBsV4darsrYNg4ANPgaGhKhsA3GmMyjz  # SCS          $     79.1M
LFNTYraetVioAPnGJht4yNg2aUZFXR776cMeN9VMjXp  # LFNTY        $     78.7M
45EgCwcPXYagBC7KqBin4nCFgEZWN7f3Y6nACwxqMCWX # MOUTAI       $     78.6M
5hmf8Jt9puwoqiFQTb3vr22732ZTKYRLRw9Vo7tN3rcz # BABY         $     76.5M
7atgF8KQo4wJrD5ATGX7t1V2zVvykPJbFfNeVf1icFv1 # CWIF         $     75.7M
AT79ReYU9XtHUTF5vM6Q4oa9K8w7918Fp5SU7G1MDMQY # SPDR         $     75.3M
4Tfacw1Y2eeVTebcjV59tgCujBjFsonbNm7Q4QRkxEFr # XAUM         $     73.4M
FLUXBmPhT3Fd1EDVFdg46YREqHBeNypn1h4EbnTzWERX # FLUXB        $     71.6M
C8cNX2D1y3jqKpMFkQhP1gGbfvTEdeckZXLBKSN5z5KF # MAIL         $     70.2M
Fch1oixTPri8zxBnmdCEADoJW2toyFHxqDZacQkwdvSP # HARAMBE      $     70.0M
FsA54yL49WKs7rWoGv9sUcbSGWCWV756jTD349e6H2yW # KOKO         $     69.3M
3X8GcLiH2HttjyqePg7MazpMbwbgq5URUMTyDz5tkmdE # LADYF        $     66.7M
kinXdEcpDQeHPEuQnqmUgtYykqKGVFq6CeVX5iAHJq6  # KIN          $     66.6M
5SVG3T9CNQsm2kEwzbRq6hASqh1oGfjqTtLXYUibpump # SIGMA        $     66.2M
26KMQVgDUoB6rEfnJ51yAABWWJND8uMtpnQgsHQ64Udr # HAMMY        $     61.9M
HLptm5e6rTgh4EKgDpYFrnRHbjpkMyVdEeREEa2G7rf9 # DUKO         $     61.7M
Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A # MBS          $     61.4M
A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS # ZEC          $     58.5M
AZsHEMXd36Bj1EMNXhowJajpUXzrKcK57wW4ZGXVa7yR # GUAC         $     58.2M
9ZMEz6nmr4RWs92ASFKxFGfKpWw8cbUp2ZP3EhdqwWPr # BALLZ        $     58.2M
NFTUkR4u7wKxy9QLaX2TGvd9oZSWoMo4jqSJqdMb7Nk  # BLOCK        $     56.2M
38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump # GORK         $     55.7M
4vqYQTjmKjxrWGtbL2tVkbAU1EVAz9JwcYtd2VE3PbVU # WYNN         $     53.4M
PRVT6TB7uss3FrUd2D9xs2zqDBsa3GbMJMwCQsgmeta  # UMBRA        $     52.8M
GFX1ZjR2P15tmrSwow6FjyDYcEkoFb4p4gJCpLBjaxHD # GOFX         $     52.4M
E1kvzJNxShvvWTrudokpzuc789vRiDXfXG3duCuY6ooE # DITH         $     49.0M
BEgBsVSKJSxreiCE1XmWWq8arnwit7xDqQXSWYgay9xP # WYAC         $     48.5M
AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3 # FTT          $     47.5M
EJPtJEDogxzDbvM8qvAsqYbLmPj5n1vQeqoAzj9Yfv3q # BOZO         $     44.2M
WskzsKqEW3ZsmrhPAevfVZb6PuuLzWov9mJWZsfDePC  # PUNDU        $     44.0M
HaP8r3ksG76PhQLTqR8FYBeNiQpejcFbQmiHbg787Ut1 # TRUMP        $     43.5M
CWE8jPTUYhdCTZYWPTe1o5DFqfdjzWKc9WKz6rSjQUdG # LINK         $     42.7M
ENoD8J2J6wNHkcJkvVBkwq5JMiR1oNBfBZRkoHCQogyT # AABL         $     42.3M
9se6kma7LeGcQWyRBNcYzyxZPE3r9t9qWZ8SnjnN3jJ7 # LUNA         $     42.1M
69LjZUUzxj3Cb3Fxeo1X4QpYEQTboApkhXTysPpbpump # CODEC        $     40.9M
21rweMLGYeMNonHW7H3xa5py17X6ZFRcHirCp9inRBQA # IQ50         $     40.8M
CKaKtYvz6dKPyMvYq9Rh3UBrnNqYZAyd7iF4hJtjUvks # GARI         $     40.6M
GAMwtMB6onAvBNBQJCJFuxoaqfPH8uCQ2dewNMVVpump # TANK         $     39.4M
79F32BvHBE49gPsvypYTGzcpWGvt66mgvenQow3mJjXu # CORGIAI      $     38.6M
FQAguaz4t6SGo7aHjHCkU56Umo3VMLY5pE9PYBmf8Zja # AIBET        $     38.5M
MangoCzJ36AjZyKwVj3VnYU4GTonjfVEnJmvvWaxLac  # MNGO         $     38.4M
A2PRwGdS4ho2WGfb2gbWFTXoVGoDBhLEhJ14bGouqbyZ # DUCK         $     36.8M
E5ndSkaB17Dm7CsD22dvcjfrYSDLCxFcMd6z8ddCk5wp # RIN          $     36.0M
667w6y7eH5tQucYQXfJ2KmiuGBE8HfYnqqbjLNSw7yww # ANDY         $     35.6M
8BtoThi2ZoXnF7QQK1Wjmh2JuBw9FjVvhnGMVZ2vpump # DARK         $     35.0M
4tJZhSdGePuMEfZQ3h5LaHjTPsw1iWTRFTojnZcwsAU6 # ELU          $     34.9M
HBB111SCo9jkCejsZfz8Ec8nH7T6THF8KEKSnvwT6XK6 # HBB          $     34.3M
HnKkzR1YtFbUUxM6g3iVRS2RY68KHhGV7bNdfF1GCsJB # KAMA         $     33.4M
5z3iCe53hUANTiG8Js8RjHNE2Arjik7L2CXLyr2rpump # LESTER       $     33.2M
3ag1Mj9AKz9FAkCQ6gAEhpLSX8B2pUbPdkb9iBsDLZNB # HONK         $     31.7M
BLZEEuZUBVqFhj8adcCFPJvPVCiCyVmh3hkJMrU8KuJA # BLZE         $     31.6M
FvER7SsvY5GqAMawf7Qfb5MnUUmDdbPNPg4nCa4zHoLw # PAJAMAS      $     31.5M
AkhdZGVbJXPuQZ53u2LrimCjkRP6ZyxG1SoM85T98eE1 # BOT          $     31.3M
93RC484oMK5T9H89rzT5qiAXKHGP9jscXfFfrihNbe57 # ZERO         $     31.1M
9dLuVbJMd4ZpTpFgmaFHAGSsFwVjtcnzFWaLAA1expHg # HEEHEE       $     30.8M
6SUryVEuDz5hqAxab6QrGfbzWvjN8dC7m29ezSvDpump # JASON        $     30.8M
BreuhVohXX5fv6q41uyb3sojtAuGoGaiAhKBMtcrpump # hehe         $     30.2M
GyuP7chtXSRB6erApifBxFvuTtz94x3zQo3JdWofBTgy # D2X          $     29.9M
2xP43MawHfU7pwPUmvkc6AUWg4GX8xPQLTGMkSZfCEJT # NINJA        $     29.8M
GsNzxJfFn6zQdJGeYsupJWzUAm57Ba7335mfhWvFiE9Z # DXL          $     28.9M
